18:44:24 g_M1_n2000_p1000_r030.rds done
18:44:54 g_M2_n2000_p1000_r030.rds done
18:45:24 g_M3_n2000_p1000_r030.rds done
18:45:54 g_M4_n2000_p1000_r030.rds done

Grilles de reglages et agregateurs (9, 25 et 25 points)

=== M1  n=2000 p=1000 rho=0.30
regle                        Sure-4  Sure-10  Sure-20
seul                          0.925    0.975    1.000
quantile                      0.950    1.000    1.000
coarse.mediane                0.925    1.000    1.000
coarse.mediane.pipe           0.925    1.000    1.000
coarse.moyenne                0.825    0.975    1.000
coarse.moyenne.pipe           0.825    1.000    1.000
coarse.tronq20                0.850    1.000    1.000
coarse.tronq20.pipe           0.900    1.000    1.000
coarse.minimum                0.975    1.000    1.000
coarse.minimum.pipe           0.975    1.000    1.000
coarse.maximum                0.725    0.900    0.925
coarse.maximum.pipe           0.775    1.000    1.000
coarse.geom                   0.925    1.000    1.000
coarse.geom.pipe              0.925    1.000    1.000
fine.mediane                  0.950    1.000    1.000
fine.mediane.pipe             0.950    1.000    1.000
fine.moyenne                  0.825    1.000    1.000
fine.moyenne.pipe             0.850    1.000    1.000
fine.tronq20                  0.925    1.000    1.000
fine.tronq20.pipe             0.950    1.000    1.000
fine.minimum                  0.950    1.000    1.000
fine.minimum.pipe             0.950    1.000    1.000
fine.maximum                  0.700    0.875    1.000
fine.maximum.pipe             0.775    1.000    1.000
fine.geom                     0.925    1.000    1.000
fine.geom.pipe                0.925    1.000    1.000
wide.mediane                  0.850    0.925    0.975
wide.mediane.pipe             0.875    1.000    1.000
wide.moyenne                  0.050    0.400    0.600
wide.moyenne.pipe             0.425    1.000    1.000
wide.tronq20                  0.650    0.900    0.950
wide.tronq20.pipe             0.775    1.000    1.000
wide.minimum                  0.200    0.725    1.000
wide.minimum.pipe             0.825    1.000    1.000
wide.maximum                  0.025    0.100    0.100
wide.maximum.pipe             0.075    0.525    0.950
wide.geom                     0.725    0.900    1.000
wide.geom.pipe                0.800    1.000    1.000

=== M2  n=2000 p=1000 rho=0.30
regle                        Sure-4  Sure-10  Sure-20
seul                          0.200    0.525    0.575
quantile                      0.200    0.950    1.000
coarse.mediane                0.425    0.775    0.800
coarse.mediane.pipe           0.575    0.875    1.000
coarse.moyenne                0.225    0.525    0.675
coarse.moyenne.pipe           0.450    0.825    1.000
coarse.tronq20                0.275    0.575    0.700
coarse.tronq20.pipe           0.500    0.800    1.000
coarse.minimum                0.450    0.825    0.850
coarse.minimum.pipe           0.600    0.875    1.000
coarse.maximum                0.175    0.350    0.525
coarse.maximum.pipe           0.300    0.750    0.975
coarse.geom                   0.350    0.675    0.800
coarse.geom.pipe              0.500    0.875    1.000
fine.mediane                  0.425    0.775    0.800
fine.mediane.pipe             0.600    0.850    1.000
fine.moyenne                  0.275    0.575    0.675
fine.moyenne.pipe             0.500    0.825    1.000
fine.tronq20                  0.350    0.650    0.775
fine.tronq20.pipe             0.525    0.875    1.000
fine.minimum                  0.475    0.850    0.850
fine.minimum.pipe             0.625    0.875    1.000
fine.maximum                  0.175    0.375    0.500
fine.maximum.pipe             0.275    0.825    0.950
fine.geom                     0.350    0.675    0.800
fine.geom.pipe                0.500    0.850    1.000
wide.mediane                  0.400    0.675    0.750
wide.mediane.pipe             0.525    0.875    1.000
wide.moyenne                  0.150    0.375    0.575
wide.moyenne.pipe             0.350    0.850    1.000
wide.tronq20                  0.300    0.550    0.725
wide.tronq20.pipe             0.475    0.875    1.000
wide.minimum                  0.150    0.750    0.850
wide.minimum.pipe             0.450    0.900    1.000
wide.maximum                  0.050    0.175    0.325
wide.maximum.pipe             0.150    0.675    0.950
wide.geom                     0.325    0.650    0.775
wide.geom.pipe                0.450    0.875    1.000

=== M3  n=2000 p=1000 rho=0.30
regle                        Sure-4  Sure-10  Sure-20
seul                          0.250    0.475    0.525
quantile                      0.350    0.825    0.950
coarse.mediane                0.250    0.475    0.550
coarse.mediane.pipe           0.350    0.650    0.975
coarse.moyenne                0.175    0.225    0.400
coarse.moyenne.pipe           0.200    0.600    0.975
coarse.tronq20                0.150    0.325    0.425
coarse.tronq20.pipe           0.225    0.650    0.975
coarse.minimum                0.150    0.625    0.800
coarse.minimum.pipe           0.400    0.875    1.000
coarse.maximum                0.125    0.200    0.225
coarse.maximum.pipe           0.200    0.475    0.875
coarse.geom                   0.225    0.475    0.625
coarse.geom.pipe              0.275    0.825    0.975
fine.mediane                  0.225    0.550    0.600
fine.mediane.pipe             0.300    0.725    0.975
fine.moyenne                  0.175    0.250    0.425
fine.moyenne.pipe             0.225    0.675    0.975
fine.tronq20                  0.175    0.450    0.600
fine.tronq20.pipe             0.250    0.700    0.975
fine.minimum                  0.150    0.600    0.800
fine.minimum.pipe             0.375    0.850    0.950
fine.maximum                  0.100    0.150    0.250
fine.maximum.pipe             0.175    0.550    0.850
fine.geom                     0.200    0.525    0.675
fine.geom.pipe                0.250    0.825    0.975
wide.mediane                  0.100    0.400    0.525
wide.mediane.pipe             0.200    0.675    1.000
wide.moyenne                  0.075    0.125    0.300
wide.moyenne.pipe             0.125    0.625    1.000
wide.tronq20                  0.100    0.300    0.400
wide.tronq20.pipe             0.225    0.700    1.000
wide.minimum                  0.075    0.375    0.750
wide.minimum.pipe             0.275    0.900    0.975
wide.maximum                  0.000    0.000    0.075
wide.maximum.pipe             0.050    0.400    0.900
wide.geom                     0.100    0.400    0.550
wide.geom.pipe                0.250    0.775    1.000

=== M4  n=2000 p=1000 rho=0.30
regle                        Sure-4  Sure-10  Sure-20
seul                          0.075    0.250    0.400
quantile                      0.200    0.750    0.900
coarse.mediane                0.075    0.350    0.500
coarse.mediane.pipe           0.175    0.675    0.925
coarse.moyenne                0.000    0.150    0.325
coarse.moyenne.pipe           0.075    0.500    0.925
coarse.tronq20                0.000    0.250    0.350
coarse.tronq20.pipe           0.125    0.575    0.925
coarse.minimum                0.125    0.350    0.600
coarse.minimum.pipe           0.200    0.775    0.900
coarse.maximum                0.000    0.100    0.150
coarse.maximum.pipe           0.025    0.375    0.850
coarse.geom                   0.050    0.325    0.550
coarse.geom.pipe              0.075    0.750    0.925
fine.mediane                  0.125    0.425    0.525
fine.mediane.pipe             0.200    0.625    0.925
fine.moyenne                  0.050    0.175    0.300
fine.moyenne.pipe             0.075    0.500    0.925
fine.tronq20                  0.100    0.375    0.425
fine.tronq20.pipe             0.150    0.600    0.925
fine.minimum                  0.125    0.425    0.600
fine.minimum.pipe             0.250    0.775    0.900
fine.maximum                  0.000    0.100    0.200
fine.maximum.pipe             0.050    0.325    0.850
fine.geom                     0.125    0.400    0.500
fine.geom.pipe                0.175    0.700    0.925
wide.mediane                  0.050    0.175    0.375
wide.mediane.pipe             0.075    0.675    0.875
wide.moyenne                  0.000    0.075    0.125
wide.moyenne.pipe             0.025    0.400    0.850
wide.tronq20                  0.025    0.075    0.225
wide.tronq20.pipe             0.050    0.500    0.875
wide.minimum                  0.050    0.225    0.500
wide.minimum.pipe             0.125    0.750    0.900
wide.maximum                  0.000    0.000    0.000
wide.maximum.pipe             0.000    0.175    0.625
wide.geom                     0.025    0.175    0.475
wide.geom.pipe                0.100    0.700    0.900

